Country,Total_Medals
Austria,5
Belgium,10
Switzerland,8
Germany,33
France,64
Netherlands,34
Denmark,9
United Kingdom,65
Ireland,7
Lithuania,4
Norway,8
Sweden,11
Bulgaria,7
Czech Republic,5
Hungary,19
Moldova,4
Poland,10
Romania,9
Slovakia,1
Ukraine,12
Albania,2
Cyprus,1
Spain,18
Greece,8
Croatia,7
Italy,40
Kosovo,2
Portugal,4
Serbia,5
Slovenia,3
Ivory Coast,1
Cape Verde,1
Algeria,3
Egypt,3
Morocco,2
Tunisia,4
Ethiopia,11
Kenya,2
Uganda,1
Zambia,2
Botswana,6
South Africa,4
Armenia,7
Azerbaijan,4
Bahrain,7
Georgia,7
Israel,1
Jordan,1
Qatar,8
Turkey,91
China,4
Hong Kong S.A.R.,45
Japan,32
South Korea,1
Mongolia,6
North Korea,7
Taiwan,6
India,12
Iran,1
Pakistan,7
Kazakhstan,6
Kyrgyzstan,3
Tajikistan,13
Uzbekistan,3
Indonesia,2
Malaysia,4
Philippines,1
Singapore,6
Thailand,1
Fiji,53
Australia,20
New Zealand,2
Guatemala,5
Mexico,1
Panama,9
Cuba,1
Dominica,3
Dominican Republic,2
Grenada,6
Jamaica,2
Saint Lucia,2
Puerto Rico,27
Canada,3
United States of America,126
Argentina,20
Brazil,2
Chile,4
Colombia,5
Ecuador,1
